INSTRUCTION SET ARCHITECTURE - CPU-16 (16-bit),,,,,,,,,
,,,,,,,,,
== REGISTERS ==,,,,,,,,,
MOVI,0x01,I,RD (4b),IMM 16b,Load 16-bit immediate into RD,[01][RD][--][IMM_HI][IMM_LO],-,
MOV,0x02,R,RD (4b),RS1 (4b),Copy RS1 to RD,[02][RD][RS1][----],-,
ADD,0x03,R,RS1 (4b),RS2 (4b),RS1 + RS2 result in R0,[03][00][RS1][RS2][--],ZF CF,Result always in R0
SUB,0x04,R,RS1 (4b),RS2 (4b),RS1 - RS2 result in R0,[04][00][RS1][RS2][--],ZF CF,Result always in R0
MUL,0x05,R,RS1 (4b),RS2 (4b),RS1 x RS2 result in R0,[05][00][RS1][RS2][--],ZF OF,Result always in R0
DIV,0x06,R,RS1 (4b),RS2 (4b),RS1 / RS2 result in R0,[06][00][RS1][RS2][--],ZF,Result always in R0
ADDI,0x07,I,RD (4b),IMM 12b,RD + signed IMM result in RD,[07][RD][RS1][IMM],ZF CF,
STR,0x08,I,RS1 (4b),ADDR 16b,Store RS1 to memory[ADDR],[08][RS1][--][ADDR_HI][ADDR_LO],-,Address always 2nd arg
LOAD,0x09,I,RD (4b),ADDR 16b,Load memory[ADDR] into RD,[09][RD][--][ADDR_HI][ADDR_LO],-,Address always 2nd arg
JMP,0x0A,J,-,ADDR 16b,Unconditional jump to ADDR,[0A][00][--][ADDR_HI][ADDR_LO],-,
JEQ,0x0B,J,-,ADDR 16b,Jump if ZF=1 (equal),[0B][00][--][ADDR_HI][ADDR_LO],ZF,After CMP
JNE,0x0C,J,-,ADDR 16b,Jump if ZF=0 (not equal),[0C][00][--][ADDR_HI][ADDR_LO],ZF,After CMP
JLT,0x0D,J,-,ADDR 16b,Jump if CF=1 (less than),[0D][00][--][ADDR_HI][ADDR_LO],CF,After CMP
JGT,0x0E,J,-,ADDR 16b,Jump if CF=0 and ZF=0 (greater),[0E][00][--][ADDR_HI][ADDR_LO],CF ZF,After CMP
AND,0x0F,R,RS1 (4b),RS2 (4b),RS1 AND RS2 result in R0,[0F][00][RS1][RS2][--],ZF,
OR,0x10,R,RS1 (4b),RS2 (4b),RS1 OR RS2 result in R0,[10][00][RS1][RS2][--],ZF,
XOR,0x11,R,RS1 (4b),RS2 (4b),RS1 XOR RS2 result in R0,[11][00][RS1][RS2][--],ZF,
NOT,0x12,R,RS1 (4b),-,Bitwise NOT RS1 result in R0,[12][00][RS1][----],ZF,
CMP,0x13,R,RS1 (4b),RS2 (4b),Compare RS1-RS2 set flags only,[13][00][RS1][RS2][--],ZF CF,No result written
SHL,0x14,I,RS1 (4b),IMM 4b,RS1 shift left by IMM result in R0,[14][00][RS1][IMM][--],ZF CF,
SHR,0x15,I,RS1 (4b),IMM 4b,RS1 shift right by IMM result in R0,[15][00][RS1][IMM][--],ZF,
PUSH,0x16,R,RS1 (4b),-,mem[--SP] = RS1 (SP decrements),[16][RS1][----],-,
POP,0x17,R,RD (4b),-,RD = mem[SP++] (SP increments),[17][RD][-----],-,
CALL,0x18,J,-,ADDR 16b,LR=PC+1 then jump to ADDR,[18][00][--][ADDR_HI][ADDR_LO],-,Saves return addr in R14
RET,0x19,J,-,-,PC = LR (return from subroutine),[19][00][------],-,
HLT,0x1A,J,-,-,Halt CPU,[1A][00][------],-,
NOP,0x1B,J,-,-,No operation 1 cycle,[1B][00][------],-,
STR32,0x1C,I,ADDR 16b,-,Write R32 (R8:R7) as 32-bit value into RAM at ADDR,[1C][--][--][ADDR_HI][ADDR_LO],-,R7 written to ADDR and R8 written to ADDR+2
,,,,,,,,,
== STATUS FLAGS REGISTER ==,,,,,,,,,
FLAG,BIT,NAME,SET WHEN,CLEARED WHEN,,,,,
ZF,Bit 0,Zero Flag,Result == 0,Result != 0,,,,,
CF,Bit 1,Carry Flag,Unsigned overflow or borrow,No unsigned overflow,,,,,
OF,Bit 2,Overflow Flag,Signed overflow,No signed overflow,,,,,
NF,Bit 3,Negative Flag,Result MSB == 1,Result MSB == 0,,,,,
,,,,,,,,,
== MEMORY MAP (64KB - 16-bit address bus) ==,,,,,,,,,
#,START,END,SIZE,SIZE (bytes),REGION,ACCESS,DESCRIPTION,,
1,0x0000,0x001F,32 B,32,RESET VECTOR + BOOT STUBS,R (read-only),Reset vector at 0x0000 (2 bytes JMP target) interrupt stubs follow,,
2,0x0020,0x01FF,480 B,480,BOOT ROM,R (read-only),Small ROM firmware - init stack pointer then JMP to RAM CODE,,
3,0x0200,0x02FF,256 B,256,STACK,R/W,Hardware stack grows downward from 0x02FF,,
4,0x0300,0x3FFF,15.75 KB,16128,RAM - CODE,R/W,User program code,,
5,0x4000,0xFFFF,48 KB,49152,RAM - DATA,R/W,General-purpose data heap and extended storage,,
TOTAL,-,-,64 KB,65536,Full address space,,,,
